UTC,Latitude,Longitude,Altitude,SOG (knots),COG (deg),IMU Heading (avg),Apparent Wind Speed (knots),Apparent Wind Angle (deg),AWS X-Component,AWS Y-Component,True Wind Speed (knots),True Wind Direction (deg),Speed Through Water (knots),STW X-Component,STW Y-Component,Current Speed (knots),Current Direction (deg),Current X-Component,Current Y-Component,Errors
,49.275925,-123.128167,9421,0.00,0.00,242.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None
,49.272182,-123.131191,-30724,0.13,42.53,0.00,0.00,0.00,0.00,0.00,0.18,222.53,0.00,0.00,0.00,0.18,42.53,0.12,0.13,None
,49.272182,-123.131222,-8047,0.29,229.60,0.00,0.00,0.00,0.00,0.00,0.29,49.60,0.00,0.00,0.00,0.29,229.60,-0.22,-0.19,None
02:,49.272204,-123.131260,-21037,1.92,344.58,0.00,0.00,0.00,0.00,0.00,0.84,351.32,0.00,0.00,0.00,0.84,171.32,0.13,-0.83,None
,49.272140,-123.131183,13632,0.46,251.43,131.22,0.00,0.00,0.00,0.00,0.39,71.43,0.00,0.00,0.00,0.39,251.43,-0.37,-0.12,None
,49.272285,-123.131319,-25334,2.58,92.26,132.75,0.00,0.00,0.00,0.00,0.60,289.08,0.00,0.00,0.00,0.60,109.08,0.57,-0.20,None
,49.272255,-123.131203,-10745,0.10,104.39,132.98,0.00,0.00,0.00,0.00,0.88,270.04,0.00,0.00,0.00,0.88,90.04,0.88,-0.00,None
04:,49.272226,-123.131238,-9516,2.15,274.87,130.81,0.00,0.00,0.00,0.00,2.01,218.30,0.00,0.00,0.00,2.01,38.30,1.24,1.58,None
09:,49.272169,-123.131158,-14695,2.75,153.78,129.60,0.00,0.00,0.00,0.00,0.89,279.01,0.00,0.00,0.00,0.89,99.01,0.88,-0.14,None
,49.272152,-123.131201,-20377,0.24,158.19,128.27,0.00,0.00,0.00,0.00,0.48,339.31,0.00,0.00,0.00,0.48,159.31,0.17,-0.45,None
,49.272087,-123.132143,-14759,3.11,292.22,329.03,0.00,0.00,0.00,0.00,1.66,125.60,0.00,0.00,0.00,1.66,305.60,-1.35,0.97,None
,49.274753,-123.135906,-23645,3.41,324.59,303.29,0.00,0.00,0.00,0.00,3.05,144.29,0.00,0.00,0.00,3.05,324.29,-1.78,2.48,None
,49.277999,-123.139894,-16728,4.51,328.12,313.85,0.00,0.00,0.00,0.00,2.59,128.03,0.00,0.00,0.00,2.59,308.03,-2.04,1.60,None
,49.280919,-123.145626,-13991,3.30,294.50,340.02,0.00,0.00,0.00,0.00,3.75,111.39,0.00,0.00,0.00,3.75,291.39,-3.49,1.37,None
,49.283361,-123.152314,-25735,2.69,323.79,310.12,0.00,0.00,0.00,0.00,5.03,140.39,0.00,0.00,0.00,5.03,320.39,-3.20,3.87,None
,49.283737,-123.160107,-20894,6.16,230.19,29.63,0.00,0.00,0.00,0.00,5.48,61.09,0.00,0.00,0.00,5.48,241.09,-4.80,-2.65,None
,49.280297,-123.170603,-22739,5.60,248.05,127.21,0.00,0.00,0.00,0.00,5.60,68.05,0.00,0.00,0.00,5.60,,,,
,49.275925,-123.128167,9421,0.00,0.00,242.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None
,49.272182,-123.131191,-30724,0.13,42.53,0.00,0.00,0.00,0.00,0.00,0.18,222.53,0.00,0.00,0.00,0.18,42.53,0.12,0.13,None
,49.272182,-123.131222,-8047,0.29,229.60,0.00,0.00,0.00,0.00,0.00,0.29,49.60,0.00,0.00,0.00,0.29,229.60,-0.22,-0.19,None
02:,49.272204,-123.131260,-21037,1.92,344.58,0.00,0.00,0.00,0.00,0.00,0.84,351.32,0.00,0.00,0.00,0.84,171.32,0.13,-0.83,None
,49.272140,-123.131183,13632,0.46,251.43,131.22,0.00,0.00,0.00,0.00,0.39,71.43,0.00,0.00,0.00,0.39,251.43,-0.37,-0.12,None
,49.272285,-123.131319,-25334,2.58,92.26,132.75,0.00,0.00,0.00,0.00,0.60,289.08,0.00,0.00,0.00,0.60,109.08,0.57,-0.20,None
,49.272255,-123.131203,-10745,0.10,104.39,132.98,0.00,0.00,0.00,0.00,0.88,270.04,0.00,0.00,0.00,0.88,90.04,0.88,-0.00,None
04:,49.272226,-123.131238,-9516,2.15,274.87,130.81,0.00,0.00,0.00,0.00,2.01,218.30,0.00,0.00,0.00,2.01,38.30,1.24,1.58,None
